Songs & Artist,Streams,Daily,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,trend_alignment
The Weeknd - Blinding Lights,"5,34,19,96,137 ","13,66,661 ",0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,After Hours,Blinding Lights,91.0,200040.0,False,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4.0,pop,0.3632652662328322
Ed Sheeran - Shape of You,"4,83,44,46,201 ","13,90,040 ",7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,÷ (Deluxe),Shape of You,86.0,233712.0,False,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,4.0,pop,0.6105963717722659
The Neighbourhood - Sweater Weather,"4,48,25,25,861 ","23,67,040 ",2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,93.0,240400.0,False,0.612,0.807,10.0,-2.81,1.0,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.0,pop,0.898191944491437
The Weeknd - Starboy,"4,44,35,48,062 ","17,94,689 ",7MXVkk9YMctZqd1Srtv4MB,The Weeknd;Daft Punk,Starboy,Starboy,90.0,230453.0,True,0.679,0.587,7.0,-7.015,1.0,0.276,0.141,6.35e-06,0.137,0.486,186.003,4.0,pop,0.2691561530043705
Harry Styles - As It Was,"4,32,23,46,703 ","16,41,116 ",4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,As It Was,95.0,167303.0,False,0.52,0.731,6.0,-5.338,0.0,0.0557,0.342,0.00101,0.311,0.662,173.93,4.0,pop,0.3425459275937197
Lewis Capaldi - Someone You Loved,"4,26,98,47,212 ","10,77,259 ",7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved,87.0,182160.0,False,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,4.0,pop,0.809630263480451
Post Malone - Sunflower,"4,17,53,66,041 ","13,12,922 ",0v1yN5C75um5Wx2WPtFl6k,Sara Farell,Sunflower,Sunflower,51.0,181897.0,False,0.568,0.213,2.0,-11.882,1.0,0.0379,0.955,0.0,0.113,0.302,72.932,4.0,acoustic,0.3849085063421736
Drake - One Dance,"4,12,53,90,227 ","19,06,365 ",1zi7xx7UVEFkmKfv06H8x0,Drake;Wizkid;Kyla,Views,One Dance,85.0,173986.0,False,0.792,0.625,1.0,-5.609,1.0,0.0536,0.00776,0.0018,0.329,0.37,103.967,4.0,hip-hop,0.7195686910260509
Ed Sheeran - Perfect,"3,88,93,59,260 ","12,88,124 ",0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,÷ (Deluxe),Perfect,87.0,263400.0,False,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,3.0,pop,0.6024482790766876
The Kid LAROI - STAY,"3,83,89,24,170 ","9,50,868 ",6uBhi9gBXWjanegOb2Phh0,Zedd;Alessia Cara,Stay,Stay,76.0,210090.0,False,0.69,0.622,5.0,-5.025,0.0,0.0622,0.253,0.0,0.116,0.544,102.04,4.0,techno,0.6918497125382272
