Songs & Artist,Streams,Daily
The Weeknd - Blinding Lights,"5,34,19,96,137 ","13,66,661 "
Ed Sheeran - Shape of You,"4,83,44,46,201 ","13,90,040 "
The Neighbourhood - Sweater Weather,"4,48,25,25,861 ","23,67,040 "
The Weeknd - Starboy,"4,44,35,48,062 ","17,94,689 "
Harry Styles - As It Was,"4,32,23,46,703 ","16,41,116 "
Lewis Capaldi - Someone You Loved,"4,26,98,47,212 ","10,77,259 "
Post Malone - Sunflower,"4,17,53,66,041 ","13,12,922 "
Drake - One Dance,"4,12,53,90,227 ","19,06,365 "
Ed Sheeran - Perfect,"3,88,93,59,260 ","12,88,124 "
The Kid LAROI - STAY,"3,83,89,24,170 ","9,50,868 "
Imagine Dragons - Believer,"3,79,01,56,558 ","10,57,361 "
Glass Animals - Heat Waves,"3,70,39,93,218 ","10,92,122 "
Billie Eilish - lovely,"3,69,91,58,193 ","11,65,762 "
Arctic Monkeys - I Wanna Be Yours,"3,68,72,96,340 ","19,74,358 "
Lord Huron - The Night We Met,"3,66,48,82,168 ","15,54,919 "
Coldplay - Yellow,"3,66,41,68,844 ","18,85,889 "
The Chainsmokers - Closer,"3,65,48,60,392 ","12,50,456 "
Billie Eilish - BIRDS OF A FEATHER,"3,58,94,86,916 ","24,88,757 "
Vance Joy - Riptide,"3,57,24,84,638 ","17,15,295 "
The Chainsmokers - Something Just Like This,"3,56,73,47,531 ","12,98,758 "
James Arthur - Say You Won't Let Go,"3,55,89,41,254 ","8,25,028 "
Lady Gaga - Die With A Smile,"3,54,67,97,189 ","27,85,504 "
Tom Odell - Another Love,"3,48,96,05,769 ","13,09,507 "
Tones And I - Dance Monkey,"3,41,38,64,602 ","4,93,607 "
Hozier - Take Me to Church,"3,40,43,94,300 ","12,42,497 "
OneRepublic - Counting Stars,"3,39,61,18,313 ","14,41,954 "
The Police - Every Breath You Take,"3,38,54,19,357 ","23,04,461 "
Ed Sheeran - Photograph,"3,35,65,42,926 ","13,15,046 "
Post Malone - rockstar,"3,35,24,08,527 ","5,94,812 "
Taylor Swift - Cruel Summer,"3,29,29,35,883 ","11,82,115 "
Shawn Mendes - Se̱orita,"3,27,81,85,964 ","7,98,373 "
Macklemore - Can't Hold Us,"3,25,89,83,078 ","13,19,498 "
Coldplay - Viva La Vida,"3,24,85,22,509 ","14,79,113 "
Harry Styles - Watermelon Sugar,"3,24,16,17,447 ","8,59,880 "
The Goo Goo Dolls - Iris,"3,22,81,62,295 ","28,24,533 "
The Weeknd - Die For You,"3,20,25,91,534 ","12,34,300 "
Bruno Mars - Just the Way You Are,"3,18,98,60,560 ","14,84,724 "
Dua Lipa - Don't Start Now,"3,18,82,52,634 ","7,74,861 "
Bruno Mars - Locked out of Heaven,"3,13,38,98,679 ","18,95,772 "
Bruno Mars - That's What I Like,"3,11,46,79,398 ","17,82,376 "
Post Malone - Circles,"3,11,30,75,815 ","8,83,251 "
Justin Bieber - Love Yourself,"3,11,16,80,994 ","10,46,721 "
Queen - Bohemian Rhapsody,"3,10,13,29,954 ","9,80,366 "
Juice WRLD - Lucid Dreams,"3,09,75,79,328 ","6,47,812 "
The Killers - Mr. Brightside,"3,09,48,14,641 ","20,77,053 "
Travis Scott - goosebumps,"3,09,21,72,122 ","6,65,327 "
Linkin Park - In the End,"3,07,93,22,544 ","16,31,665 "
Bruno Mars - When I Was Your Man,"3,07,28,36,187 ","15,10,653 "
Ed Sheeran - Thinking out Loud,"3,07,12,08,298 ","9,70,372 "
Avicii - Wake Me Up,"3,04,77,68,285 ","11,34,719 "
Lady Gaga - Shallow,"3,04,45,58,041 ","8,21,289 "
John Legend - All Of Me,"3,02,85,77,789 ","9,29,389 "
Drake - God's Plan,"3,02,56,54,732 ","8,74,918 "
Eminem - Without Me,"3,01,73,74,689 ","12,79,426 "
The Weeknd - The Hills,"2,98,96,84,562 ","9,91,818 "
Imagine Dragons - Demons,"2,97,81,61,618 ","9,86,749 "
Imagine Dragons - Thunder,"2,97,68,46,830 ","8,06,756 "
Twenty One Pilots - Stressed Out,"2,97,51,09,943 ","11,72,561 "
DJ Snake - Let Me Love You,"2,94,80,15,050 ","13,64,751 "
Arctic Monkeys - Do I Wanna Know?,"2,92,60,36,656 ","12,00,530 "
Kendrick Lamar - All The Stars,"2,91,69,56,320 ","17,06,488 "
Billie Eilish - bad guy,"2,89,37,08,271 ","4,82,789 "
Sabrina Carpenter - Espresso,"2,88,86,55,591 ","20,16,128 "
Kendrick Lamar - HUMBLE.,"2,88,15,84,662 ","7,26,793 "
J. Cole - No Role Modelz,"2,86,85,15,595 ","10,52,822 "
Benson Boone - Beautiful Things,"2,85,36,01,320 ","18,58,578 "
Jung Kook - Seven,"2,85,26,48,515 ","21,38,424 "
Eminem - Lose Yourself,"2,85,16,13,025 ","10,17,995 "
"Tyler, The Creator - See You Again","2,85,05,96,716 ","16,96,205 "
French Montana - Unforgettable,"2,84,59,82,223 ","12,13,626 "
Nirvana - Smells Like Teen Spirit,"2,82,36,85,046 ","14,64,679 "
Miley Cyrus - Flowers,"2,81,98,82,600 ","9,77,095 "
Justin Bieber - Sorry,"2,80,71,86,218 ","11,19,416 "
Dream Supplier - Clean Baby Sleep White Noise (Loopable),"2,80,38,06,185 ","16,95,201 "
Shawn Mendes - Treat You Better,"2,79,94,96,082 ","10,26,283 "
Coldplay - The Scientist,"2,79,57,91,219 ","12,37,822 "
Radiohead - Creep,"2,79,06,38,424 ","21,25,303 "
Olivia Rodrigo - drivers license,"2,78,73,82,290 ","9,54,375 "
Passenger - Let Her Go,"2,77,69,41,149 ","6,47,866 "
Ariana Grande - 7 rings,"2,77,61,44,893 ","7,88,381 "
Journey - Don't Stop Believin',"2,77,00,43,751 ","9,63,058 "
SZA - Kill Bill,"2,75,62,69,618 ","8,50,379 "
Shawn Mendes - There's Nothing Holdin' Me Back,"2,74,80,68,599 ","10,54,181 "
Arctic Monkeys - 505,"2,74,23,69,327 ","18,29,725 "
